Group,Category,Code,Long Description,Short Description
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9848,Patient did not receive systemic cancer-directed therapy in the last 14 days of life,Patient did not receive systemic cancer-directed therapy in the last 14 days of life
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9849,"Patients who died from cancer
                                    
                                        
Terminated December 31, 2020.","Patients who died from cancer
                                    
                                        
Terminated December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9850,"Patient had more than one emergency department visit in the last 30 days of life
                                    
                                        
Terminated December 31, 2020.","Patient had more than one emergency department visit in the last 30 days of life
                                    
                                        
Terminated December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9851,"Patient had one or less emergency department visits in the last 30 days of life
                                    
                                        
Terminated December 31, 2020.","Patient had one or less emergency department visits in the last 30 days of life
                                    
                                        
Terminated December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9852,"Patients who died from cancer
                                    
                                        
Terminated December 31, 2023.","Patients who died from cancer
                                    
                                        
Terminated December 31, 2023."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9853,"Patient admitted to the icu in the last 30 days of life
                                    
                                        
Terminated December 31, 2023.","Patient admitted to the icu in the last 30 days of life
                                    
                                        
Terminated December 31, 2023."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9854,"Patient was not admitted to the icu in the last 30 days of life
                                    
                                        
Terminated December 31, 2023.","Patient was not admitted to the icu in the last 30 days of life
                                    
                                        
Terminated December 31, 2023."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9855,"Patients who died from cancer
                                    
                                        
Terminated December 31, 2020.","Patients who died from cancer
                                    
                                        
Terminated December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9856,"Patient was not admitted to hospice
                                    
                                        
Terminated December 31, 2020.","Patient was not admitted to hospice
                                    
                                        
Terminated December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9857,"Patient admitted to hospice
                                    
                                        
Terminated December 31, 2020.","Patient admitted to hospice
                                    
                                        
Terminated December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9858,Patient enrolled in hospice,Patient enrolled in hospice
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9859,Patients who died from cancer,Patients who died from cancer
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9860,Patient spent less than three days in hospice care,Patient spent less than three days in hospice care
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9861,Patient spent greater than or equal to three days in hospice care,Patient spent greater than or equal to three days in hospice care
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9862,"Documentation of medical reason(s) for not recommending at least a 10 year follow-up interval (e.g., inadequate prep, familial or personal history of colonic polyps, patient had no adenoma and age is = 66 years old, or life expectancy < 10 years old, other medical reasons)","Documentation of medical reason(s) for not recommending at least a 10 year follow-up interval (e.g., inadequate prep, familial or personal history of colonic polyps, patient had no adenoma and age is = 66 years old, or life expectancy < 10 years old, other medical reasons)"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9868,"Receipt and analysis of remote, asynchronous images for dermatologic and/or ophthalmologic evaluation, for use only in a medicare-approved cmmi model, less than 10 minutes","Receipt and analysis of remote, asynchronous images for dermatologic and/or ophthalmologic evaluation, for use only in a medicare-approved cmmi model, less than 10 minutes"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9869,"Receipt and analysis of remote, asynchronous images for dermatologic and/or ophthalmologic evaluation, for use only in a medicare-approved cmmi model, 10-20 minutes","Receipt and analysis of remote, asynchronous images for dermatologic and/or ophthalmologic evaluation, for use only in a medicare-approved cmmi model, 10-20 minutes"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9870,"Receipt and analysis of remote, asynchronous images for dermatologic and/or ophthalmologic evaluation, for use only in a medicare-approved cmmi model, more than 20 minutes","Receipt and analysis of remote, asynchronous images for dermatologic and/or ophthalmologic evaluation, for use only in a medicare-approved cmmi model, more than 20 minutes"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9873,First medicare diabetes prevention program (mdpp) core session was attended by an mdpp beneficiary under the mdpp expanded model (em).  a core session is an mdpp service that: (1)  is furnished by an mdpp supplier during months 1 through 6 of the mdpp services period; (2)  is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for core sessions,First medicare diabetes prevention program (mdpp) core session was attended by an mdpp beneficiary under the mdpp expanded model (em).  a core session is an mdpp service that: (1)  is furnished by an mdpp supplier during months 1 through 6 of the mdpp services period; (2)  is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for core sessions
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9874,Four total medicare diabetes prevention program (mdpp) core sessions were attended by an mdpp beneficiary under the mdpp expanded model (em).  a core session is an mdpp service that: (1)  is furnished by an mdpp supplier during months 1 through 6 of the mdpp services period; (2)  is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for core sessions,Four total medicare diabetes prevention program (mdpp) core sessions were attended by an mdpp beneficiary under the mdpp expanded model (em).  a core session is an mdpp service that: (1)  is furnished by an mdpp supplier during months 1 through 6 of the mdpp services period; (2)  is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for core sessions
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9875,Nine total medicare diabetes prevention program (mdpp) core sessions were attended by an mdpp beneficiary under the mdpp expanded model (em).  a core session is an mdpp service that: (1)  is furnished by an mdpp supplier during months 1 through 6 of the mdpp services period; (2)  is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for core sessions,Nine total medicare diabetes prevention program (mdpp) core sessions were attended by an mdpp beneficiary under the mdpp expanded model (em).  a core session is an mdpp service that: (1)  is furnished by an mdpp supplier during months 1 through 6 of the mdpp services period; (2)  is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for core sessions
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9876,"Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 7-9 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary did not achieve at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 7-9","Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 7-9 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary did not achieve at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 7-9"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9877,"Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 10-12 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary did not achieve at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 10-12","Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 10-12 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary did not achieve at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 10-12"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9878,"Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 7-9 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.the beneficiary achieved at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 7-9","Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 7-9 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.the beneficiary achieved at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 7-9"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9879,"Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 10-12 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions. the beneficiary achieved at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 10-12","Two medicare diabetes prevention program (mdpp) core maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 10-12 under the mdpp expanded model (em).  a core maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 7 through 12 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions. the beneficiary achieved at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at a core maintenance session in months 10-12"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9880,The mdpp beneficiary achieved at least 5% weight loss (wl) from his/her baseline weight in months 1-12 of the mdpp services period under the mdpp expanded model (em).  this is a one-time payment available when a beneficiary first achieves at least 5% weight loss from baseline as measured by an in-person weight measurement at a core session or core maintenance session,The mdpp beneficiary achieved at least 5% weight loss (wl) from his/her baseline weight in months 1-12 of the mdpp services period under the mdpp expanded model (em).  this is a one-time payment available when a beneficiary first achieves at least 5% weight loss from baseline as measured by an in-person weight measurement at a core session or core maintenance session
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9881,"The mdpp beneficiary achieved at least 9% weight loss (wl) from his/her baseline weight in months 1-24 under the mdpp expanded model (em).  this is a one-time payment available when a beneficiary first achieves at least 9% weight loss from baseline as measured by an in-person weight measurement at a core session, core maintenance session, or ongoing maintenance session","The mdpp beneficiary achieved at least 9% weight loss (wl) from his/her baseline weight in months 1-24 under the mdpp expanded model (em).  this is a one-time payment available when a beneficiary first achieves at least 9% weight loss from baseline as measured by an in-person weight measurement at a core session, core maintenance session, or ongoing maintenance session"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9882,"Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 13-15 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions. the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 13-15","Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 13-15 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions. the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 13-15"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9883,"Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 16-18 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 16-18","Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 16-18 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 16-18"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9884,"Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 19-21 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions. the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 19-21","Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 19-21 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions. the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 19-21"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9885,"Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 22-24 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 22-24","Two medicare diabetes prevention program (mdpp) ongoing maintenance sessions (ms) were attended by an mdpp beneficiary in months (mo) 22-24 under the mdpp expanded model (em).  an ongoing maintenance session is an mdpp service that: (1) is furnished by an mdpp supplier during months 13 through 24 of the mdpp services period; (2) is approximately 1 hour in length; and (3) adheres to a cdc-approved dpp curriculum for maintenance sessions.  the beneficiary maintained at least 5% weight loss (wl) from his/her baseline weight, as measured by at least one in-person weight measurement at an ongoing maintenance session in months 22-24"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9886,"Behavioral counseling for diabetes prevention, in-person, group, 60 minutes","Behavioral counseling for diabetes prevention, in-person, group, 60 minutes"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9887,"Behavioral counseling for diabetes prevention, distance learning, 60 minutes","Behavioral counseling for diabetes prevention, distance learning, 60 minutes"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9888,Maintenance 5% wl from baseline weight in months 7-12,5% wl maintnd from bsline wt
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9890,"Bridge payment: a one-time payment for the first medicare diabetes prevention program (mdpp) core session, core maintenance session, or ongoing maintenance session furnished by an mdpp supplier to an mdpp beneficiary during months 1-24 of the mdpp expanded model (em) who has previously received mdpp services from a different mdpp supplier under the mdpp expanded model.  a supplier may only receive one bridge payment per mdpp beneficiary",Em bridge payment
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9891,Mdpp session reported as a line-item on a claim for a payable mdpp expanded model (em)  hcpcs code for a session furnished by the billing supplier under the mdpp expanded model and counting toward achievement of the attendance performance goal for the payable mdpp expanded model hcpcs code (this code is for reporting purposes only),Em session reporting
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9892,"Documentation of patient reason(s) for not performing a dilated macular examination
                                    
                                        
Terminated December 31, 2024.",Doc pt rsn no dil mac exam
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9893,"Dilated macular exam was not performed, reason not otherwise specified
                                    
                                        
Terminated December 31, 2024.",No mac exam
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9894,Androgen deprivation therapy prescribed/administered in combination with external beam radiotherapy to the prostate,Adr dep thrpy prescribed
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9895,"Documentation of medical reason(s) for not prescribing/administering androgen deprivation therapy in combination with external beam radiotherapy to the prostate (e.g., salvage therapy)",Doc med rsn no adr dep thrpy
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9896,Documentation of patient reason(s) for not prescribing/administering androgen deprivation therapy in combination with external beam radiotherapy to the prostate,Doc pt rsn no adr dep thrpy
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9897,"Patients who were not prescribed/administered androgen deprivation therapy in combination with external beam radiotherapy to the prostate, reason not given",Pt nt prsc adr dep thrpy rng
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9898,"Patients age 66 or older in institutional special needs plans (snp) or residing in long-term care with pos code 32, 33, 34, 54, or 56 for more than 90 consecutive days during the measurement period",Pt 66+ snp or ltc pos > 90d
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9899,"Screening, diagnostic, film, digital or digital breast tomosynthesis (3d) mammography results documented and reviewed",Scrn mam perf rslts doc
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9900,"Screening, diagnostic, film, digital or digital breast tomosynthesis (3d) mammography results were not documented and reviewed, reason not otherwise specified",Scrn mam perf rslts not doc
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9901,"Patient age 66 or older in institutional special needs plans (snp) or residing in long-term care with pos code 32, 33, 34, 54, or 56 for more than 90 consecutive days during the measurement period",Pt 66+ snp or ltc pos > 90d
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9902,Patient screened for tobacco use and identified as a tobacco user,Pt scrn tbco and id as user
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9903,Patient screened for tobacco use and identified as a tobacco non-user,Pt scrn tbco id as non user
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9904,"Documentation of medical reason(s) for not screening for tobacco use (e.g., limited life expectancy, other medical reason)
                                    
                                        
Terminated December 31, 2022.",Doc med rsn no tbco scrn
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9905,Patient not screened for tobacco use,No pt tbco scrn rng
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9906,Patient identified as a tobacco user received tobacco cessation intervention during the measurement period or in the six months prior to the measurement period (counseling and/or pharmacotherapy),Patient identified as a tobacco user received tobacco cessation intervention during the measurement period or in the six months prior to the measurement period (counseling and/or pharmacotherapy)
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9907,"Documentation of medical reason(s) for not providing tobacco cessation intervention on the date of the encounter or within the previous 12 months (e.g., limited life expectancy, other medical reason)
                                    
                                        
Terminated December 31, 2022.","Documentation of medical reason(s) for not providing tobacco cessation intervention on the date of the encounter or within the previous 12 months (e.g., limited life expectancy, other medical reason)
                                    
                                        
Terminated December 31, 2022."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9908,Patient identified as tobacco user did not receive tobacco cessation intervention during the measurement period or in the six months prior to the measurement period (counseling and/or pharmacotherapy),Patient identified as tobacco user did not receive tobacco cessation intervention during the measurement period or in the six months prior to the measurement period (counseling and/or pharmacotherapy)
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9909,"Documentation of medical reason(s) for not  providing tobacco cessation intervention on the date of the encounter or within the previous 12 months if identified as a tobacco user (e.g., limited life expectancy, other medical reason)
                                    
                                        
Terminated December 31, 2022.","Documentation of medical reason(s) for not  providing tobacco cessation intervention on the date of the encounter or within the previous 12 months if identified as a tobacco user (e.g., limited life expectancy, other medical reason)
                                    
                                        
Terminated December 31, 2022."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9910,"Patients age 66 or older in institutional special needs plans (snp) or residing in long-term care with pos code 32, 33, 34, 54 or 56 for more than 90 consecutive days during the measurement period","Patients age 66 or older in institutional special needs plans (snp) or residing in long-term care with pos code 32, 33, 34, 54 or 56 for more than 90 consecutive days during the measurement period"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9911,Clinically node negative (t1n0m0 or t2n0m0) invasive breast cancer before or after neoadjuvant  systemic therapy,Clinically node negative (t1n0m0 or t2n0m0) invasive breast cancer before or after neoadjuvant  systemic therapy
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9912,Hepatitis b virus (hbv) status assessed and results interpreted prior to initiating anti-tnf (tumor necrosis factor) therapy,Hepatitis b virus (hbv) status assessed and results interpreted prior to initiating anti-tnf (tumor necrosis factor) therapy
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9913,"Hepatitis b virus (hbv) status not assessed and results interpreted prior to initiating anti-tnf (tumor necrosis factor) therapy, reason not otherwise specified","Hepatitis b virus (hbv) status not assessed and results interpreted prior to initiating anti-tnf (tumor necrosis factor) therapy, reason not otherwise specified"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9914,Patient initiated an anti-tnf agent,Patient initiated an anti-tnf agent
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9915,No record of hbv results documented,No record of hbv results documented
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9916,Functional status  performed once in the last 12 months,Functional status  performed once in the last 12 months
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9917,Documentation of advanced stage dementia and caregiver knowledge is limited,Documentation of advanced stage dementia and caregiver knowledge is limited
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9918,"Functional status not performed, reason not otherwise specified","Functional status not performed, reason not otherwise specified"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9919,Screening performed and positive and provision of recommendations,Screening performed and positive and provision of recommendations
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9920,Screening performed and negative,Screening performed and negative
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9921,"No screening performed, partial screening performed or positive screen without recommendations and reason is not given or otherwise specified
                                    
                                        
Terminated December 31, 2024.","No screening performed, partial screening performed or positive screen without recommendations and reason is not given or otherwise specified
                                    
                                        
Terminated December 31, 2024."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9922,Safety concerns screen provided and if positive then documented mitigation recommendations,Safety concerns screen provided and if positive then documented mitigation recommendations
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9923,Safety concerns screen provided and negative,Safety concerns screen provided and negative
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9924,"Documentation of medical reason(s) for not providing safety concerns screen or for not providing recommendations, orders or referrals for positive screen (e.g., patient in palliative care, other medical reason)
                                    
                                        
Terminated December 31, 2020.",Doc med rsn no scrn or recs
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9925,"Safety concerns screening not provided, reason not otherwise specified",No scrn prov rsn nos
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9926,"Safety concerns screening positive screen is without provision of mitigation recommendations, including but not limited to referral to other resources",Sfty cncrns scrn but no recs
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9927,"Documentation of system reason(s) for not prescribing an fda-approved anticoagulation due to patient being currently enrolled in a clinical trial related to af/atrial flutter treatment
                                    
                                        
Terminated December 31, 2023.",Doc no warf /fda pt trial
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9928,"Fda-approved anticoagulant not prescribed, reason not given",No warf or fda drug presc
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9929,"Patient with transient or reversible cause of af (e.g., pneumonia, hyperthyroidism, pregnancy, cardiac surgery)",Trs/rev af
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9930,Patients who are receiving comfort care only,Com care
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9931,"Documentation of cha2ds2-vasc risk score of 0 or 1 for men; or 0, 1, or 2 for women",No chad or chad scr 0 or 1
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9932,"Documentation of patient reason(s) for not having records of negative or managed positive tb screen (e.g., patient does not return for mantoux (ppd) skin test evaluation)
                                    
                                        
Terminated December 31, 2022.",Doc pt rsn no tb scrn recrds
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9933,"Adenoma(s) or colorectal cancer detected during screening colonoscopy
                                    
                                        
Terminated December 31, 2020.",Canc detectd during col scrn
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9934,"Documentation that neoplasm detected is only diagnosed as traditional serrated adenoma, sessile serrated polyp, or sessile serrated adenoma
                                    
                                        
Terminated December 31, 2020.",Doc rsn not detecting cancer
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9935,"Adenoma(s) or colorectal cancer not detected during screening colonoscopy
                                    
                                        
Terminated December 31, 2020.",Canc not detectd during srcn
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9936,"Surveillance colonoscopy - personal history of colonic polyps, colon cancer, or other malignant neoplasm of rectum, rectosigmoid junction, and anus
                                    
                                        
Terminated December 31, 2020.",Pmh plyp/neo co/rect/jun/ans
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9937,"Diagnostic colonoscopy
                                    
                                        
Terminated December 31, 2020.",Dig or surv colsco
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9938,"Patients aged 66 or older in institutional special needs plans (snp) or residing in long-term care with pos code 32, 33, 34, 54, or 56 for more than 90 consecutive days during the six months prior to the measurement period through december 31 of the measurement period",Pt 66+ snp or ltc pos > 90d
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9939,Pathologists/dermatopathologists is the same clinician who performed the biopsy,Same path/derm perf biopsy
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9940,"Documentation of medical reason(s) for not on a statin (e.g., pregnancy, in vitro fertilization, clomiphene rx, esrd, cirrhosis, muscular pain and disease during the measurement period or prior year)",Doc reas no statin therapy
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9941,"Back pain was measured by the visual analog scale (vas) within three months preoperatively and at three months (6 - 20 weeks) postoperatively
                                    
                                        
Terminated December 31, 2019.",Pre and post vas wthn 3 mos
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9942,"Patient had any additional spine procedures performed on the same date as the lumbar discectomy/laminectomy
                                    
                                        
Terminated December 31, 2022.",Adtl spine proc on same date
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9943,Back pain was not measured by the visual analog scale (vas) or numeric pain scale at three months (6 - 20 weeks) postoperatively,Bk pn nt msr vas scl pre/pst
